City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Hobart,AU,49.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
12,Mendoza,AR,54.73,clear sky,-32.8908,-68.8272,Hotel Mendoza
18,Iqaluit,CA,46.76,overcast clouds,63.7506,-68.5145,Frobisher Inn
33,Paamiut,GL,45.9,light rain,61.994,-49.6678,Hotel Ivaana
38,New Norfolk,AU,48.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
41,Mataura,NZ,45.48,light rain,-46.1927,168.8643,Ellie's Villa
42,Busselton,AU,54.52,overcast clouds,-33.65,115.3333,Observatory Guest House
43,Usinsk,RU,46.63,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
52,Bluff,NZ,45.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Rio Grande,BR,48.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
59,Castro,BR,46.58,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
62,Waitati,NZ,50.81,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
65,Bredasdorp,ZA,54.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
70,Bilibino,RU,46.31,broken clouds,68.0546,166.4372,Gostinitsa Severyanka
72,Carnarvon,AU,50.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
77,Concordia,AR,49.48,clear sky,-31.393,-58.0209,Palmar Hotel Casino
80,Willowmore,ZA,46.78,few clouds,-33.2926,23.4895,Jumper's Place
87,Tiksi,RU,50.47,few clouds,71.6872,128.8694,Arktika
88,Chuy,UY,49.77,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
90,Geraldton,AU,46.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
93,Hermanus,ZA,54.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
104,Constitucion,CL,53.6,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
105,Coquimbo,CL,53.33,few clouds,-29.9533,-71.3436,Punto de encuentro
106,Tuktoyaktuk,CA,50.13,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
111,Codrington,AU,49.82,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
118,Te Anau,NZ,47.61,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
119,Vardo,NO,50.07,overcast clouds,70.3705,31.1107,Vardø Hotel AS
125,Ludvika,SE,53.33,light rain,60.1496,15.1878,Ludvika Stadshotell
130,Lebu,CL,49.69,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
132,Nanortalik,GL,48.42,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
142,Christchurch,NZ,54.32,overcast clouds,-43.5333,172.6333,The George
169,Husavik,IS,53.92,light rain,66.0449,-17.3389,Bjarnabúð
175,Ancud,CL,47.73,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
182,Sisimiut,GL,51.71,clear sky,66.9395,-53.6735,Hotel Sisimiut
195,Maniitsoq,GL,47.84,few clouds,65.4167,-52.9,Hotel Heilmann Lyberth
197,Sorland,NO,49.28,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
200,Ritchie,ZA,49.1,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
210,Lasa,IT,52.63,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
213,Barrow,US,48.22,overcast clouds,71.2906,-156.7887,King Eider Inn
224,Esperance,AU,53.82,broken clouds,-33.8667,121.9,Hospitality Esperance
226,Tromso,NO,46.42,light rain,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
236,Mar Del Plata,AR,45.09,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
