City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Hobart,AU,-42.8794,147.3294,49.26,75,40,1.99,scattered clouds
1,Pakokku,MM,21.3333,95.1,79.59,82,100,9.46,overcast clouds
2,Lisakovsk,KZ,52.5369,62.4936,67.51,76,22,5.82,few clouds
3,Turukhansk,RU,65.8167,87.9833,59.9,76,44,6.06,scattered clouds
4,Mama,RU,58.3106,112.8986,57.81,86,100,3.38,overcast clouds
5,Avarua,CK,-21.2078,-159.775,73.45,94,75,20.71,moderate rain
6,Talnakh,RU,69.4865,88.3972,58.1,83,100,4.43,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,41.11,75,40,23.02,light intensity shower rain
8,Qaqortoq,GL,60.7167,-46.0333,61.3,77,100,5.37,overcast clouds
9,Saskylakh,RU,71.9167,114.0833,76.91,40,0,4.83,clear sky
10,Hithadhoo,MV,-0.6,73.0833,81.45,71,93,7.67,light rain
11,Bay Roberts,CA,47.5999,-53.2648,64.33,83,25,5.01,scattered clouds
12,Mendoza,AR,-32.8908,-68.8272,54.73,33,0,4.09,clear sky
13,Springfield,US,37.2153,-93.2982,81.54,70,75,4.0,haze
14,Albany,US,42.6001,-73.9662,66.9,92,90,2.42,light rain
15,Bengkulu,ID,-3.8004,102.2655,74.19,89,94,3.98,overcast clouds
16,Nemuro,JP,43.3236,145.575,63.03,99,100,5.68,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,36.97,85,40,9.66,scattered clouds
18,Iqaluit,CA,63.7506,-68.5145,46.76,89,100,5.44,overcast clouds
19,Bar Harbor,US,44.3876,-68.2039,64.24,69,1,1.99,clear sky
20,Puntarenas,CR,9.9763,-84.8384,85.93,82,97,3.24,overcast clouds
21,Buala,SB,-8.145,159.5921,78.76,86,99,7.47,moderate rain
22,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,55,8.01,broken clouds
23,Saint George,US,37.1041,-113.5841,96.64,29,75,8.99,broken clouds
24,Sao Francisco,BR,-15.9486,-44.8644,70.16,41,86,8.25,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,61.56,81,51,23.73,broken clouds
26,Atuona,PF,-9.8,-139.0333,76.98,72,34,10.58,scattered clouds
27,Kuryk,KZ,43.2,51.65,83.61,30,0,5.3,clear sky
28,South Sioux City,US,42.4739,-96.4136,79.95,34,1,3.0,haze
29,Matay,EG,28.419,30.7792,85.69,30,0,8.97,clear sky
30,Severnoye,RU,56.3491,78.3619,59.07,74,80,4.54,broken clouds
